2019-12-06 09:56:03.3720 Info Loading Cardigann definition /app/Jackett/Definitions/btgigs.yml 
2019-12-06 09:56:03.3744 Info Loading Cardigann definition /app/Jackett/Definitions/ebookparadijs.yml 
2019-12-06 09:56:03.3744 Info Loading Cardigann definition /app/Jackett/Definitions/tvchaosuk.yml 
2019-12-06 09:56:03.3802 Info Loading Cardigann definition /app/Jackett/Definitions/fanoin.yml 
2019-12-06 09:56:03.3835 Info Loading Cardigann definition /app/Jackett/Definitions/pthome.yml 
2019-12-06 09:56:03.3871 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownload.yml 
2019-12-06 09:56:03.3884 Info Loading Cardigann definition /app/Jackett/Definitions/glodls.yml 
2019-12-06 09:56:03.3884 Info Loading Cardigann definition /app/Jackett/Definitions/ethor.yml 
2019-12-06 09:56:03.3935 Info Loading Cardigann definition /app/Jackett/Definitions/torrentz2.yml 
2019-12-06 09:56:03.3957 Info Loading Cardigann definition /app/Jackett/Definitions/siambit.yml 
2019-12-06 09:56:03.4000 Info Loading Cardigann definition /app/Jackett/Definitions/gaytorrentru.yml 
2019-12-06 09:56:03.4034 Info Loading Cardigann definition /app/Jackett/Definitions/torrentslocal.yml 
2019-12-06 09:56:03.4453 Info Loading Cardigann definition /app/Jackett/Definitions/theplace.yml 
2019-12-06 09:56:03.4484 Info Loading Cardigann definition /app/Jackett/Definitions/xbytes2.yml 
2019-12-06 09:56:03.4512 Info Loading Cardigann definition /app/Jackett/Definitions/cartoonchaos.yml 
2019-12-06 09:56:03.4512 Info Loading Cardigann definition /app/Jackett/Definitions/bittorrentam.yml 
2019-12-06 09:56:03.4551 Info Loading Cardigann definition /app/Jackett/Definitions/torrentgalaxyorg.yml 
2019-12-06 09:56:03.4579 Info Loading Cardigann definition /app/Jackett/Definitions/ebooks-shares.yml 
2019-12-06 09:56:03.4749 Info Loading Cardigann definition /app/Jackett/Definitions/hdbits.yml 
2019-12-06 09:56:03.4749 Info Loading Cardigann definition /app/Jackett/Definitions/hamsterstudio.yml 
2019-12-06 09:56:03.4897 Info Loading Cardigann definition /app/Jackett/Definitions/theoccult.yml 
2019-12-06 09:56:03.5000 Info Loading Cardigann definition /app/Jackett/Definitions/frozenlayer.yml 
2019-12-06 09:56:03.5036 Info Loading Cardigann definition /app/Jackett/Definitions/zamundanet.yml 
